STATE,COMPANY,CITY,NUMBER_OF_WORKERS,WARN_RECEIVED_DATE,EFFECTIVE_DATE,CLOSURE_LAYOFF,LAYOFFDURATION,REGION,COUNTY,INDUSTRY
Florida,"Group 1001 Resources, LLC",Miramar,32,2025-06-26 00:00:00,2025-10-01 00:00:00,layoff,permanent,Northern,Miramar County,Manufacturing
California,Cushman & Wakefield (1000),W Maude,12,2025-06-26 00:00:00,2025-08-28 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,Cushman & Wakefield (222),Ca,10,2025-06-26 00:00:00,2025-08-28 00:00:00,layoff,temporary,Northern,San Francisco County,Healthcare & Social Assistance
California,Richland Ace Hardware,Whitmore,10,2025-06-26 00:00:00,2025-09-27 00:00:00,closure,temporary,Northern,Stanislaus County,Wholesale Trade
California,Cushman & Wakefield,Real Carpinteria,6,2025-06-26 00:00:00,2025-08-28 00:00:00,layoff,temporary,Northern,Santa Barbara County,Healthcare & Social Assistance
California,Cushman & Wakefield (455),Mountain View,2,2025-06-26 00:00:00,2025-08-28 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,Cushman & Wakefield (543),Howard,1,2025-06-26 00:00:00,2025-08-28 00:00:00,layoff,temporary,Northern,San Francisco County,Healthcare & Social Assistance
California,Cushman & Wakefield (401),Mountain View,1,2025-06-26 00:00:00,2025-08-28 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,The Trevor Project,West Hollywood,240,2025-06-25 00:00:00,2025-07-17 00:00:00,layoff,temporary,Northern,Los Angeles County,Other Services
California,Pacific Premier Bank,Von Karman,78,2025-06-25 00:00:00,2025-08-01 00:00:00,layoff,temporary,Northern,Orange County,Finance & Insurance
Michigan,Webasto Roof Systems,Hudson,62,2025-06-25 00:00:00,2025-06-19 00:00:00,layoff,temporary,Northern,Oakland,Information
California,Joe's Crab Shack,E Harbor,61,2025-06-25 00:00:00,2025-08-24 00:00:00,closure,temporary,Northern,San Diego County,Accommodation & Food Services
Illinois,"Group 1001 Resources, LLC",Ridge,32,2025-06-25 00:00:00,2025-06-25 00:00:00,layoff,permanent,Northeast 4,Cook,Other Services
Oregon,Owens Corning,Prineville,184,2025-06-24 00:00:00,2025-06-24 00:00:00,layoff,temporary,Northern,Prineville County,Manufacturing
Tennessee,"DeRoyal Industries, Inc.",Lafollette,153,2025-06-24 00:00:00,2025-12-31 00:00:00,closure,permanent,Northern,Campbell,Manufacturing
Colorado,Amentum,Louisville,135,2025-06-24 00:00:00,2025-09-30 00:00:00,closure,temporary,Pueblo,nan County,Professional Services
West Virginia,Parkhurst Dining,Bethany,68,2025-06-24 00:00:00,2025-08-01 00:00:00,layoff,permanent,Northern,Bethany County,Accommodation & Food Services
Indiana,Columbus Regional Health,Columbus,50,2025-06-24 00:00:00,2025-06-24 00:00:00,layoff,temporary,Northern,Columbus County,Healthcare & Social Assistance
Iowa,Wells Fargo,Moines,35,2025-06-24 00:00:00,2025-08-24 00:00:00,other,temporary,Central Iowa,Polk,Finance & Insurance
California,Ball Horticultural Company,South Briggs,33,2025-06-24 00:00:00,2025-12-18 00:00:00,closure,temporary,Northern,Ventura County,Agriculture
Wisconsin,Quick Motors,Milwaukee,16,2025-06-24 00:00:00,2025-06-30 00:00:00,closure,temporary,Milwaukee,Milwaukee,Other Services
Georgia,"BLST Operating Company, LLC",Eatonton,160,2025-06-23 00:00:00,2025-06-23 00:00:00,layoff,temporary,Northern,Putnam,Professional Services
Missouri,Nordstrom,Louis,135,2025-06-23 00:00:00,2025-08-24 00:00:00,closure,temporary,St. Louis,St. Louis,Other Services
California,"Prospect Medical Systems, LLC",Floor Orange,125,2025-06-23 00:00:00,2025-07-01 00:00:00,layoff,temporary,Northern,San Bernardino County,Admin & Support Services
Georgia,Wellpath,Marietta,68,2025-06-23 00:00:00,2025-08-01 00:00:00,closure,temporary,Northern,Cobb,Healthcare & Social Assistance
Wisconsin,Nasco Education LLC,Atkinson,30,2025-06-23 00:00:00,2025-08-22 00:00:00,other,temporary,South Central,Jefferson,Professional Services
California,Mucci Tehachapi Inc.,Pellisier,21,2025-06-23 00:00:00,2025-08-22 00:00:00,closure,temporary,Northern,Kern County,Agriculture
Tennessee,Vanderbilt University Medical Center,Nashville,615,2025-06-20 00:00:00,2025-06-20 00:00:00,layoff,permanent,Northern,Davidson,Healthcare
Connecticut,First Student,Stamford,140,2025-06-20 00:00:00,2025-07-01 00:00:00,closure,temporary,Northern,Stamford County,Transportation & Warehousing
Washington,Amazon Fresh,Way,125,2025-06-20 00:00:00,2025-08-19 00:00:00,closure,permanent,Northern,Way County,Transportation & Warehousing
Missouri,Cenlar,Louis,93,2025-06-20 00:00:00,2025-07-22 00:00:00,closure,temporary,St. Charles,St. Charles,Other Services
Virginia,Kroger,Charlottesville,81,2025-06-20 00:00:00,2025-08-22 00:00:00,closure,temporary,Western,Charlottesville County,Retail Trade
California,Intel Corporation - Robert Noyce Building,Mission College,76,2025-06-20 00:00:00,2025-07-15 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
Alabama,AT&T Alabama,Huntsville,73,2025-06-20 00:00:00,2025-09-20 00:00:00,layoff,temporary,Northern,Huntsville County,Information / Telecom
California,Intel Corporation - SC-12,Juliette,26,2025-06-20 00:00:00,2025-07-15 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,Oxford Social Club,Fifth,26,2025-06-20 00:00:00,2025-08-20 00:00:00,closure,temporary,Northern,San Diego County,Accommodation & Food Services
California,Five Guys Operations,Station North,17,2025-06-20 00:00:00,2025-07-13 00:00:00,closure,temporary,Northern,San Diego County,Accommodation & Food Services
California,Intel Corporation - SC-11,Santa Clara,3,2025-06-20 00:00:00,2025-07-15 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,Safeway Inc.,Yulupa,3,2025-06-20 00:00:00,2025-07-31 00:00:00,closure,temporary,Northern,Sonoma County,Wholesale Trade
California,Intel Corporation - SC-9,Juliette,2,2025-06-20 00:00:00,2025-07-15 00:00:00,layoff,temporary,Northern,Santa Clara County,Professional Services
California,"Scout Distribution, LLC - City of Industry",Puente,87,2025-06-19 00:00:00,2025-08-22 00:00:00,layoff,temporary,Northern,Los Angeles County,Wholesale Trade
California,"Scout Distribution, LLC - San Diego",Carroll Canyon,5,2025-06-19 00:00:00,2025-08-22 00:00:00,layoff,temporary,Northern,San Diego County,Wholesale Trade
California,Walmart (840),California,135,2025-06-18 00:00:00,2025-08-22 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,Walmart (640),California,129,2025-06-18 00:00:00,2025-08-22 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,Walmart (860),W California,98,2025-06-18 00:00:00,2025-08-22 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,"McDonald's Restaurants of California, Inc.",Victory,87,2025-06-18 00:00:00,2025-08-19 00:00:00,layoff,temporary,Northern,Los Angeles County,Accommodation & Food Services
Missouri,Pharma Tech Industries,Union,84,2025-06-18 00:00:00,2025-06-18 00:00:00,closure,temporary,St. Louis & vicinity,Franklin,Manufacturing
Iowa,"Advanced Drainage Systems, Inc.",Waterloo,71,2025-06-18 00:00:00,2025-08-17 00:00:00,closure,temporary,Northeast Iowa,Black Hawk,Manufacturing
Wisconsin,Milwaukee Forge LLC,Milwaukee,67,2025-06-18 00:00:00,2025-08-18 00:00:00,closure,temporary,Milwaukee,Milwaukee,Other Services
California,Paramount Global - 5555 Melrose,Melrose,47,2025-06-18 00:00:00,2025-08-09 00:00:00,layoff,temporary,Northern,Los Angeles County,"Arts, Entertainment & Recreation"
California,Paramount Global -1575 Gower,Gower,41,2025-06-18 00:00:00,2025-08-09 00:00:00,layoff,temporary,Northern,Los Angeles County,"Arts, Entertainment & Recreation"
California,Walmart (680),W California,19,2025-06-18 00:00:00,2025-08-22 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
California,Kaiser Foundation Hospitals,Owens,3,2025-06-18 00:00:00,2025-06-16 00:00:00,layoff,temporary,Northern,Alameda County,Healthcare & Social Assistance
California,Kaiser Foundation Hospitals,Bellflower,3,2025-06-18 00:00:00,2025-06-16 00:00:00,layoff,temporary,Northern,Los Angeles County,Healthcare & Social Assistance
California,Kaiser Foundation Hospitals,Oakland,3,2025-06-18 00:00:00,2025-06-16 00:00:00,layoff,temporary,Northern,Los Angeles County,Healthcare & Social Assistance
California,Kaiser Foundation Hospitals (74 N),Pasadena,1,2025-06-18 00:00:00,2025-06-16 00:00:00,layoff,temporary,Northern,Los Angeles County,Healthcare & Social Assistance
California,Kaiser Foundation Hospitals,Magnolia,1,2025-06-18 00:00:00,2025-06-16 00:00:00,layoff,temporary,Northern,Riverside County,Healthcare & Social Assistance
Nebraska,Hyatt Corporation,Remote,286,2025-06-17 00:00:00,2025-08-16 00:00:00,layoff,permanent,Statewide,Remote County,Accommodation & Food Services
California,LPL Financial LLC,Executive,70,2025-06-17 00:00:00,2025-08-22 00:00:00,layoff,temporary,Northern,San Diego County,Finance & Insurance
California,Crothall Healthcare  - Los Alamitos Medical Center,Katella,41,2025-06-17 00:00:00,2025-07-28 00:00:00,layoff,temporary,Northern,Orange County,Admin & Support Services
California,Morrison Healthcare - Lakewood Regional Medical Center,E South,40,2025-06-17 00:00:00,2025-07-28 00:00:00,layoff,temporary,Northern,Los Angeles County,Admin & Support Services
California,Crothall Healthcare - Lakewood Regional Medical Center,E South,39,2025-06-17 00:00:00,2025-07-28 00:00:00,layoff,temporary,Northern,Los Angeles County,Admin & Support Services
California,Morrison Healthcare - Los Alamitos Medical Center,Katella,32,2025-06-17 00:00:00,2025-07-28 00:00:00,layoff,temporary,Northern,Orange County,Admin & Support Services
Wisconsin,HyPro Inc.,Berlin,24,2025-06-17 00:00:00,2025-08-15 00:00:00,closure,temporary,Fox Valley,Green Lake,Other Services
California,Morrison Healthcare - Placentia Linda Hospital,N Rose,21,2025-06-17 00:00:00,2025-07-28 00:00:00,layoff,temporary,Northern,Los Angeles County,Admin & Support Services
California,"Planned Parenthood Mar Monte, Inc.",San Jose,10,2025-06-17 00:00:00,2025-08-18 00:00:00,layoff,temporary,Northern,Santa Clara County,Healthcare & Social Assistance
Kentucky,Levi Strauss & Co,Louisville,346,2025-06-16 00:00:00,2025-08-18 00:00:00,closure,temporary,Northern Kentucky,Boone,Manufacturing
Florida,"Transit Management of Volusia County, Inc.",Daytona,267,2025-06-16 00:00:00,2025-08-05 00:00:00,closure,permanent,Northern,Daytona County,Transportation & Warehousing
California,"CRST Expedited, Inc. dba CRST The Transportation Solution, Inc.",Borax Boron,115,2025-06-16 00:00:00,2025-09-01 00:00:00,closure,temporary,Northern,Kern County,Transportation & Warehousing
California,"CRST Expedited, Inc. dba CRST The Transportation Solution, Inc.",Wilson,104,2025-06-16 00:00:00,2025-08-22 00:00:00,layoff,temporary,Northern,Riverside County,Transportation & Warehousing
Maryland,Penney OpCo LLC (“JCPenney”) Store 2102,Annapolis,65,2025-06-16 00:00:00,2025-08-17 00:00:00,closure,temporary,Anne Arundel,Annapolis County,Retail
California,MemorialCare Long Beach Medical Center and Miller Children's and Women's Hospital,Atlantic,58,2025-06-16 00:00:00,2025-06-16 00:00:00,layoff,temporary,Northern,Los Angeles County,Healthcare & Social Assistance
Illinois,OSF HealthCare Heart of Mary Medical Center,Urbana,51,2025-06-16 00:00:00,2025-06-16 00:00:00,layoff,permanent,East Central 2,Champaign,Healthcare & Social Assistance
Illinois,OSF Cardiovascular Institute and Medical Group,Urbana,40,2025-06-16 00:00:00,2025-06-16 00:00:00,closure,permanent,East Central 2,Champaign,Healthcare & Social Assistance
Illinois,OnCall Urgent Care,Champaign,14,2025-06-16 00:00:00,2025-06-16 00:00:00,closure,permanent,East Central 2,Champaign,Healthcare & Social Assistance
Illinois,OnCall Urgent Care,Champaign,10,2025-06-16 00:00:00,2025-06-16 00:00:00,closure,permanent,East Central 2,Champaign,Healthcare & Social Assistance
Illinois,OSF HealthCare Medical Group,Champaign,6,2025-06-16 00:00:00,2025-06-16 00:00:00,closure,permanent,East Central 2,Champaign,Healthcare & Social Assistance
California,"Loreto R. Sicam Jr, DMD, Inc.",Leweling,6,2025-06-16 00:00:00,2025-06-19 00:00:00,closure,temporary,Northern,Alameda County,Healthcare & Social Assistance
California,"CRST Expedited, Inc. dba CRST The Transportation Solution, Inc.",Wilson,4,2025-06-16 00:00:00,2025-09-17 00:00:00,layoff,temporary,Northern,Riverside County,Transportation & Warehousing
Illinois,"Tyson Warehousing Services, LLC  Rochelle Distribution Center",Rochelle,259,2025-06-13 00:00:00,2025-08-15 00:00:00,layoff,permanent,Northern Stateline 5,Ogle,Other Services
Florida,Lightspeed Logistics Miami LLC,Hialeah,110,2025-06-13 00:00:00,2025-08-17 00:00:00,closure,permanent,Northern,Hialeah County,Transportation & Warehousing
Virginia,Leidos QTC,Reston,77,2025-06-13 00:00:00,2025-08-15 00:00:00,layoff,temporary,Northern,Reston County,Healthcare / Diagnostics
Ohio,Stingray Pressure Pumping,Belmont,75,2025-06-13 00:00:00,2025-08-15 00:00:00,closure,permanent,Northern,Belmont,Construction
Maryland,BioNTech Us Inc.,Gaithersburg,63,2025-06-13 00:00:00,2025-08-09 00:00:00,layoff,temporary,Montgomery County,Gaithersburg County,Professional Services
Hawaii,"Zetton, Inc. (Aloha Table)",Honolulu,21,2025-06-13 00:00:00,2025-06-13 00:00:00,other,temporary,Northern,Honolulu County,Accommodation & Food Services
California,Robert Kaufman Co.,West,1,2025-06-13 00:00:00,2025-08-12 00:00:00,closure,temporary,Northern,Los Angeles County,Manufacturing
Iowa,Collins Aerospace,Rapids,102,2025-06-12 00:00:00,2025-07-18 00:00:00,layoff,temporary,East Central Iowa,Lynn,Manufacturing
Georgia,Target Corporation,Savannah,62,2025-06-12 00:00:00,2025-08-15 00:00:00,closure,temporary,Northern,Chatham,Retail Trade
Nevada,"System Consultants, Inc.",Fallon,45,2025-06-12 00:00:00,2025-08-15 00:00:00,closure,temporary,Northern,Churchill,Professional Services
Iowa,Collins Aerospace,Decorah,29,2025-06-12 00:00:00,2025-07-18 00:00:00,layoff,temporary,Northeast Iowa,Winneshiek,Manufacturing
California,"Frito-Lay, Inc.",Archibald,432,2025-06-11 00:00:00,2025-06-09 00:00:00,layoff,temporary,Northern,San Bernardino County,Manufacturing
Iowa,United States Cellular Corporation,Rapids,183,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,East Central Iowa,Linn,Other Services
South Carolina,CEF Solutions Inc.,Nj,108,2025-06-11 00:00:00,2025-08-31 00:00:00,layoff,permanent,Northern,Greenville,Information
Florida,Need it Now,Jupiter,103,2025-06-11 00:00:00,2025-08-09 00:00:00,layoff,permanent,Northern,Jupiter County,Transportation & Warehousing
Maryland,"Need It Now Delivers, LLC (NIND) “GEODIS”",Burnie,72,2025-06-11 00:00:00,2025-08-09 00:00:00,layoff,temporary,Anne Arundel,Burnie County,Transportation & Warehousing
Florida,Need it Now,Lauderdale,68,2025-06-11 00:00:00,2025-08-09 00:00:00,layoff,permanent,Northern,Lauderdale County,Transportation & Warehousing
Wisconsin,"Discovery Energy, LLC d/b/a Rehlko",Saukville,66,2025-06-11 00:00:00,2025-08-08 00:00:00,other,temporary,WOW,Ozaukee,Manufacturing
California,Del Frisco's Double Eagle Steakhouse,Santa Monica,60,2025-06-11 00:00:00,2025-08-09 00:00:00,closure,temporary,Northern,Los Angeles County,Accommodation & Food Services
Michigan,Pratt (Classic Container) Inc.,Livonia,53,2025-06-11 00:00:00,2025-08-10 00:00:00,layoff,permanent,Northern,Wayne,Manufacturing
South Carolina,Tupperware,Hemingway,46,2025-06-11 00:00:00,2025-06-11 00:00:00,layoff,permanent,Northern,Williamsburg,Manufacturing
Iowa,United States Cellular Corporation,Johnston,39,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Central Iowa,Polk,Other Services
California,Renesas Electronics Corporation - Milpitas Campus,Murphy Ranch,39,2025-06-11 00:00:00,2025-05-12 00:00:00,layoff,temporary,Northern,Santa Clara County,Manufacturing
California,"Gilead Sciences, Inc.",Ocean Ranch,36,2025-06-11 00:00:00,2025-08-15 00:00:00,layoff,temporary,Northern,San Diego County,Professional Services
Tennessee,The Public Building Authority for the City of Manchester TN dba The Manchester Coffee County Conference Center,Manchester,27,2025-06-11 00:00:00,2025-07-01 00:00:00,layoff,permanent,Northern,Coffee,Construction
Iowa,United States Cellular Corporation,Dubuque,18,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Northeast Iowa,Dubuque,Other Services
California,Renesas Electronics Corporation - San Jose Campus,Creek Valley,17,2025-06-11 00:00:00,2025-05-12 00:00:00,layoff,temporary,Northern,Santa Clara County,Manufacturing
Iowa,United States Cellular Corporation,Ottumwa,15,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,South Central Iowa,Wapello,Other Services
Iowa,United States Cellular Corporation,Burlington,13,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Mississippi Valley,Des Moines,Other Services
Iowa,United States Cellular Corporation,Moines,11,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Central Iowa,Polk,Other Services
Iowa,United States Cellular Corporation,Rapids,11,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,East Central Iowa,Linn,Other Services
Iowa,United States Cellular Corporation,Waterloo,11,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Northeast Iowa,Black Hawk,Other Services
California,Corteva Agriscience,Loveridge,11,2025-06-11 00:00:00,2025-08-01 00:00:00,layoff,temporary,Northern,Contra Costa County,Professional Services
Iowa,United States Cellular Corporation,Dodge,10,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Iowa Plains,Webster,Other Services
Iowa,United States Cellular Corporation,Rapids,10,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,East Central Iowa,Linn,Other Services
Iowa,United States Cellular Corporation,Rapids,10,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,East Central Iowa,Linn,Other Services
Iowa,United States Cellular Corporation,Coralville,10,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,East Central Iowa,Johnson,Other Services
Iowa,United States Cellular Corporation,Ames,9,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Central Iowa,Story,Other Services
Iowa,United States Cellular Corporation,Creston,9,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Iowa Plains,Union,Other Services
Iowa,United States Cellular Corporation,City,9,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Northeast Iowa,Cerro Gordo,Other Services
Iowa,United States Cellular Corporation,Davenport,9,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Mississippi Valley,Scott,Other Services
Iowa,United States Cellular Corporation,Keokuk,9,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Mississippi Valley,Lee,Other Services
Iowa,United States Cellular Corporation,Altoona,8,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Central Iowa,Polk,Other Services
Iowa,United States Cellular Corporation,Falls,8,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Northeast Iowa,Black Hawk,Other Services
Iowa,United States Cellular Corporation,Davenport,8,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Mississippi Valley,Scott,Other Services
Iowa,United States Cellular Corporation,City,8,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,East Central Iowa,Johnson,Other Services
Iowa,United States Cellular Corporation,Muscatine,8,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Mississippi Valley,Muscatine,Other Services
Maryland,Leidos,Frederick,7,2025-06-11 00:00:00,2025-08-05 00:00:00,layoff,temporary,Frederick,Frederick County,Professional Services
Iowa,United States Cellular Corporation,Ankeny,7,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Central Iowa,Polk,Other Services
Iowa,United States Cellular Corporation,Moines,7,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Central Iowa,Polk,Other Services
Iowa,United States Cellular Corporation,Moines,7,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Central Iowa,Polk,Other Services
Iowa,United States Cellular Corporation,Clinton,7,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Mississippi Valley,Clinton,Other Services
Iowa,United States Cellular Corporation,Decorah,7,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Northeast Iowa,Winneshiek,Other Services
Iowa,United States Cellular Corporation,Marshalltown,7,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,South Central Iowa,Marshall,Other Services
Iowa,United States Cellular Corporation,Bluffs,6,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Iowa Plains,Pottawattamie,Other Services
Iowa,United States Cellular Corporation,Indianola,6,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Central Iowa,Warren,Other Services
Iowa,United States Cellular Corporation,Knoxville,6,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Central Iowa,Marion,Other Services
Iowa,United States Cellular Corporation,Manchester,6,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Northeast Iowa,Delaware,Other Services
California,CVS Health,N Tracy,6,2025-06-11 00:00:00,2025-07-08 00:00:00,closure,temporary,Northern,San Joaquin County,Transportation & Warehousing
Iowa,United States Cellular Corporation,City,5,2025-06-11 00:00:00,2025-07-01 00:00:00,other,temporary,Iowa Plains,Woodbury,Other Services
Ohio,Pixelle Specialty Solutions,Chillicothe,780,2025-06-10 00:00:00,2025-08-10 00:00:00,closure,permanent,Northern,Ross,Information
Connecticut,"Hbr Trumbull, LLC dba St. Joseph's Center",Trumbull,179,2025-06-10 00:00:00,2025-06-10 00:00:00,closure,temporary,Northern,Trumbull County,Professional Services
California,Career Systems Development Corporation - San Jose Job Corps Center,East Hills,133,2025-06-10 00:00:00,2025-06-30 00:00:00,closure,temporary,Northern,Santa Clara County,Education
New Hampshire,Intervala LLC,Manchester,101,2025-06-10 00:00:00,2025-08-30 00:00:00,closure,temporary,Northern,Hillsborough,Professional Services
California,Prothena Biosciences Inc,Parkway Brisbane,91,2025-06-10 00:00:00,2025-08-01 00:00:00,layoff,temporary,Northern,San Mateo County,Professional Services
Tennessee,"GEODIS Logistics, LLC",Juliet,40,2025-06-10 00:00:00,2025-07-31 00:00:00,closure,permanent,Northern,Wilson,Transportation & Warehousing
Maryland,ADRA International,Spring,35,2025-06-10 00:00:00,2025-08-16 00:00:00,layoff,temporary,Montgomery County,Spring County,Healthcare & Social Assistance
Iowa,Wells Fargo,Moines,35,2025-06-10 00:00:00,2025-08-10 00:00:00,other,temporary,Central Iowa,Polk,Finance & Insurance
California,Boston Scientific Corporation,Innsbruck,23,2025-06-10 00:00:00,2025-08-02 00:00:00,layoff,temporary,Northern,Santa Clara County,Manufacturing
California,Kaiser Foundation Hospitals,Owens,5,2025-06-10 00:00:00,2025-06-09 00:00:00,layoff,temporary,Northern,Alameda County,Healthcare & Social Assistance
California,Kaiser Foundation Hospitals,Plaza Oakland,1,2025-06-10 00:00:00,2025-06-09 00:00:00,layoff,temporary,Northern,Alameda County,Healthcare & Social Assistance
California,Blue Diamond Growers,C,632,2025-06-09 00:00:00,2025-09-01 00:00:00,closure,temporary,Northern,Sacramento County,Manufacturing
Virginia,CarParts.com,Chesapeake,104,2025-06-09 00:00:00,2025-08-08 00:00:00,closure,temporary,Eastern,Chesapeake County,Manufacturing
Virginia,Nakupuna,Arlington,103,2025-06-09 00:00:00,2025-06-30 00:00:00,layoff,temporary,Northern,Halifax,Professional Services
Iowa,Career Systems Development Corporation,Ottumwa,92,2025-06-09 00:00:00,2025-06-30 00:00:00,closure,temporary,South Central Iowa,Wapello,Healthcare & Social Assistance
Oregon,Career Systems Development Corporation - Springdale Job Corps Center,Troutdale,77,2025-06-09 00:00:00,2025-06-30 00:00:00,closure,temporary,Northern,Troutdale County,Healthcare
Florida,Resilience US Inc,Alachua,76,2025-06-09 00:00:00,2025-06-09 00:00:00,closure,permanent,Northern,Alachua County,Manufacturing
North Carolina,"Wolfspeed, Inc.",City,73,2025-06-09 00:00:00,2025-08-09 00:00:00,layoff,permanent,Northern,Chatham,Manufacturing
Hawaii,"Entertainment America, Inc. (Chuck E. Cheese)",City,24,2025-06-09 00:00:00,2025-08-10 00:00:00,closure,temporary,Central,City County,Information
Oregon,Career Systems Development Corporation - PIVOT Job Corps Center Facility,Portland,12,2025-06-09 00:00:00,2025-06-30 00:00:00,layoff,temporary,Northern,Portland County,Healthcare
Hawaii,Watabe Wedding Corporation (Farmer's Market Operation),Kalakaua,3,2025-06-09 00:00:00,2025-06-07 00:00:00,closure,temporary,Northern,Kalakaua County,Retail Trade
Ohio,"INOAC Exterior Systems, LLC",Fremont,1,2025-06-09 00:00:00,2025-08-08 00:00:00,layoff,permanent,Northern,Sandusky,Professional Services
"Washington, D.C.",Sodexo,Louisville,308,2025-06-06 00:00:00,2025-06-06 00:00:00,layoff,temporary,Pueblo,nan County,Accommodation & Food Services
California,"Michaels Stores Procurement, Inc.",W Sugar,229,2025-06-06 00:00:00,2025-08-04 00:00:00,closure,temporary,Northern,San Joaquin County,Wholesale Trade
Rhode Island,Vertex Pharmaceuticals,Providence,125,2025-06-06 00:00:00,2025-08-05 00:00:00,layoff,temporary,Northern,Providence County,Healthcare
California,Amtrak San Bernardino Downtown SNB,South E,99,2025-06-06 00:00:00,2025-06-27 00:00:00,layoff,temporary,Northern,San Bernardino County,Transportation & Warehousing
California,Amtrak - Los Angeles (LMK),N Alameda,86,2025-06-06 00:00:00,2025-06-27 00:00:00,layoff,temporary,Northern,Los Angeles County,Transportation & Warehousing
Washington,"Del Monte Foods, Inc.",Yakima,51,2025-06-06 00:00:00,2025-08-08 00:00:00,closure,permanent,Northern,Yakima County,Manufacturing
Illinois,"Transcendia, Inc.",Park,48,2025-06-06 00:00:00,2025-06-06 00:00:00,closure,permanent,Northeast 4,Cook,Manufacturing
Nevada,"Sierra Health and Wellness Centers, LLC",Reno,20,2025-06-06 00:00:00,2025-06-05 00:00:00,closure,temporary,Northern,Washoe,Healthcare
"Washington, D.C.",ACDI/VOCA,Louisville,19,2025-06-06 00:00:00,2025-08-04 00:00:00,layoff,temporary,Pueblo,nan County,Public Administration / Nonprofit
California,Amtrak - Lancaster LCS,North Sierra,19,2025-06-06 00:00:00,2025-06-27 00:00:00,layoff,temporary,Northern,Los Angeles County,Transportation & Warehousing
California,Amtrak - Stuart Mesa Mechanical Facility (OSD),Coaster,9,2025-06-06 00:00:00,2025-06-27 00:00:00,layoff,temporary,Northern,San Diego County,Transportation & Warehousing
California,Amtrak - Moorpark,Moorpark,9,2025-06-06 00:00:00,2025-06-27 00:00:00,layoff,temporary,Northern,Ventura County,Transportation & Warehousing
California,Amtrak - Santa Fe Depot,North Garey,5,2025-06-06 00:00:00,2025-06-27 00:00:00,layoff,temporary,Northern,Los Angeles County,Transportation & Warehousing
Ohio,Kohl's,Middletown,768,2025-06-05 00:00:00,2025-06-05 00:00:00,closure,permanent,Northern,Butler,Retail Trade
Illinois,"CareerBuilder, LLC and Monster Worldwide, LLC",Chicago,390,2025-06-05 00:00:00,2025-08-04 00:00:00,closure,permanent,Northeast 4,Cook,Other Services
Illinois,"Vonachen Group, Inc.",Pontiac,184,2025-06-05 00:00:00,2025-07-05 00:00:00,closure,permanent,North Central 3,Livingston,Other Services
California,"Sapango Inc., dba Tre Posti",Main,130,2025-06-05 00:00:00,2025-08-05 00:00:00,closure,temporary,Northern,Napa County,Accommodation & Food Services
